UserID,dashboards,memory_usage
467,vs_healthcheck_dashboard,14.54
213,eve_usage_dashboard,0.16869017
365,eve_dashboard,7.22
107,vs_agent_action_dashboard,0.050445093
17,jetstream_dashboard,19
296,dc_dashboard,15.45
144,other_dashboard,0.2936259201
269,eve_usage_dashboard,17.23
11,jetstream_dashboard,4.99
122,vs_dashboard,2.61
450,other_dashboard,1.14
196,vs_dashboard,1.51
472,crimecheck_dashboard,0.1723386161
129,vs_dashboard,0.00640719011
391,vs_dashboard,4.17
313,vs_dashboard,19.43
418,msc_dashboard,0.04478041828
141,vs_dashboard,0.64
210,riskai_dashboard,4.12
22,pg_dashboard,35.85
497,crimecheck_dashboard,0.00514092
436,eve_dashboard,0.23
341,pg_dashboard,4.91
480,vs_dashboard,5.85
7,gcp_dashboard,1.91
350,vs_dashboard,17.17
88,pg_dashboard,0.02247039881
103,vs_dashboard,19.22
353,dc_dashboard,25.24
252,other_dashboard,0.045
421,dc_dashboard,2.84
506,vs_dashboard,2.08
329,eve_dashboard,2.28
278,cs_ous_dashboard,0.0118661914
364,vs_dashboard,3.78
397,pg_dashboard,26.08
235,vs_dashboard,14.52
85,vs_dashboard,3.49
268,eve_dashboard,2.46
10,eve_dashboard,0.2
224,cs_ous_dashboard,8.59
486,cs_ous_dashboard,0.01206623856
412,eve_dashboard,26.54
381,riskai_dashboard,0.02077095769
390,vs_dashboard,0.6936013
246,eve_dashboard,0.5855770689
431,vs_dashboard,0.1692807954
334,eve_dashboard,8.19
469,crimecheck_dashboard,14.98
363,vs_dashboard,30.53
236,eve_dashboard,41.23
369,vs_dashboard,0.4791582907
6,eve_dashboard,1.78
378,vs_dashboard,9.58
124,vs_dashboard,0.0029
507,eve_dashboard,21.88
420,vs_dashboard,14.82
67,vs_dashboard,27.24
325,gcp_dashboard,3.92
253,other_dashboard,0.1662816517
319,dc_dashboard,24.87
86,pg_dashboard,0.02034
433,crimecheck_dashboard,0.1513205497
146,vs_dashboard,15.83
205,eve_dashboard,1.72
173,vs_dashboard,0.4722531308
242,vs_dashboard,2.51
404,capture_funnel_dashboard,0.3700053608
330,vs_dashboard,25.71
398,vs_dashboard,18.71
511,eve_dashboard,73.76
220,dc_dashboard,12.37
61,eve_dashboard,0.02686414961
260,gcp_dashboard,8.77
513,other_dashboard,0.3059
442,vs_dashboard,9.38
415,adapter_dashboard,0.009155192412
448,vs_dashboard,51.83
239,vs_dashboard,29.25
264,eve_dashboard,0.0238221092
460,crimecheck_dashboard,0.5913279308
116,vs_dashboard,0.02571356762
43,vs_dashboard,5.18
170,other_dashboard,0.077
360,eve_dashboard,0.12
208,dc_dashboard,22.04
326,pg_dashboard,0.0039083
31,vs_dashboard,5.26
281,crimecheck_dashboard,14.15
423,riskai_dashboard,0.164159016
58,pg_dashboard,0.003923078999
259,other_dashboard,0.2048735395
90,pg_dashboard,0.9851026
193,eve_dashboard,2
377,vs_dashboard,1.4
32,vs_dashboard,0.42
372,dc_dashboard,0.440273324
270,purge_dashboard,0.02
464,pg_dashboard,28.7
214,eve_dashboard,4.1
426,vs_dashboard,41.42
475,vs_dashboard,46.27
417,riskai_dashboard,0.045783062
414,eve_dashboard,13.87
449,eve_dashboard,4.41
484,eve_dashboard,70.98
443,vs_dashboard,14.42
346,eve_dashboard,0.47
92,gcp_dashboard,0.02646625414
439,vs_dashboard,14.14
238,vs_dashboard,25.85
142,vs_dashboard,17.12
310,pg_dashboard,0.35
361,vs_dashboard,0.65
280,crimecheck_dashboard,20.03
159,other_dashboard,0.31
349,vs_dashboard,1.1
