Name,Severity,Fingerprint
RMQ - Shared Prod - Error Queues Depth,Warning,d2fc902b90355de2
Logstash Clickhouse - Insert Errors,Info,a828570adbc28ef0
IDfy Instrumenter - Shovel Queue Depth,Warning,787c8f2675bfcef4
RMQ - Shared Prod - Error Queues Depth,Warning,0530f0b99cdc8e15
RMQ - Shared Prod - Functional Queues Depth,Warning,b5f037d038a7b946
Logstash Clickhouse - Insert Errors,Info,2932b4f5046969dd
RMQ - No active consumer ,Warning,44f8d4a899bb5ddd
RMQ - rapid rise in error queue depth,Warning,30bad909ad13cc8b
Logstash Clickhouse - Insert Errors,Info,8625fa2fc41f866c
RMQ - Shared Prod - Error Queues Depth,Warning,e91685271803e8f7
Live Monitor Consumers Replicas Mismatch,%{[details][severity]},9a664134b3bb82d3
ClickHouse Expensive Queries,Warning,d10ddbc3ab6f1ece
Clickhouse Slow Queries,Warning,c706ddc9a52999b1
Logstash Clickhouse - Insert Errors,Info,b8a8242be4d74215
DatasourceError,Critical,9b9d6ca0527451ea
DatasourceError,Critical,fd85a8ca9de89268
ClickHouse Expensive Queries,Warning,ab87aff141a3c7f4
Clickhouse Down,Critical,421723a759121798
Clickhouse Down,Critical,27989c3220ea78ce
Data Missing,Critical,31e39b6546200a05
RMQ - Shared Prod - Error Queues Depth,Warning,aa6ff02e2f55ccd0
Clickhouse Slow Queries,Warning,a00ac44948b06516
Clickhouse Slow Queries,Warning,8e9d9068cda09d50
Clickhouse Slow Queries,Warning,30ab19db017718e2
RMQ - Shared Prod - Functional Queues Depth,Warning,fd2d0487546a5b28
IDfy Instrumenter - Shovel Queue Depth,Warning,554c84358e8cc6e9
Kubernetes POD Restart Alert,Warning,0be8233591541a77
Logstash Clickhouse - Insert Errors,Info,215b50fc0367c224
IDfy Instrumenter - Shovel Queue Depth,Warning,c439bb5f76559928
Kubernetes POD Restart Alert,Warning,61db5c9db34e82ed
Kubernetes POD Restart Alert,Warning,999c56d94f8709e9
RMQ - Shared Prod - Functional Queues Depth,Warning,974ab3973351b598
Clickhouse Slow Queries,Warning,e3431e19121557ee
RMQ - Shared Prod - Functional Queues Depth,Warning,8c0bab141bf8f64c
Logstash Clickhouse - Insert Errors,Info,6a68ee7f4a9f54f0
Kubernetes POD Restart Alert,Warning,28963ba87fe9c344
RMQ - No active consumer ,Warning,0574d587ab4a6bff
Kubernetes POD Restart Alert,Warning,86f2276b113d18b7
Kubernetes POD Restart Alert,Warning,61162c628595fbd2
Data Missing,Critical,53564e9ad36e4ccf
OU status changed to null,Warning,d0f59cefe8a94db3
Kubernetes POD Restart Alert,Warning,f09ed6f1e179d28d
RMQ - Shared Prod - Functional Queues Depth,Warning,577b931e290c08d4
Logstash Clickhouse - Insert Errors,Info,453845005bb8b2db
IDfy Instrumenter - Shovel Queue Depth,Warning,4d031e99e50637c3
RMQ - Shared Prod - Functional Queues Depth,Warning,6abdc0b53df0784f
Logstash BigQuery - Insert Errors,%{[details][severity]},1719be41146981b5
Logstash BigQuery - Insert Errors,%{[details][severity]},a2c83255b592160d
Logstash BigQuery - Insert Errors,%{[details][severity]},fc1525f15c3d25f4
Logstash Clickhouse - Insert Errors,Info,9f4aeba10cd5190f
Kubernetes POD Restart Alert,Warning,21919d2d4e2b7b59
Container Killed Out of Memory,%{[details][severity]},78689bb2aea85b7e
Kubernetes POD Restart Alert,Warning,0af8db957722b358
Clickhouse Slow Queries,Warning,c5817e3dbda9be5b
Logstash BigQuery - Insert Errors,%{[details][severity]},173153ed651d3400
Logstash BigQuery - Insert Errors,%{[details][severity]},66f9c799de7537f9
Logstash BigQuery - Insert Errors,%{[details][severity]},43bbf9a6b8238f34
Logstash Clickhouse - Insert Errors,Info,dca36a5db560aa4d
Logstash Clickhouse - Insert Errors,Info,8f40e57f775f8452
Logstash Clickhouse - Insert Errors,Info,a73da29a8d3679d1
Logstash Clickhouse - Insert Errors,Info,065479b0b117dca5
Logstash Clickhouse - Insert Errors,Info,9338ffcf8f003629
Logstash Clickhouse - Insert Errors,Info,e85c033f968557a1
Logstash Clickhouse - Insert Errors,Info,55d9656a1423ce73
Logstash Clickhouse - Insert Errors,Info,be2cb166f68d4be3
Logstash Clickhouse - Insert Errors,Info,d036ac96ec0712b4
Logstash Clickhouse - Insert Errors,Info,3f0ca7075d9b9581
Logstash Clickhouse - Insert Errors,Info,e37df3d65efc7e3b
Logstash Clickhouse - Insert Errors,Info,d8e1ae902b2d3bc8
Logstash Clickhouse - Insert Errors,Info,254cbe5dc7f4cbea
Logstash Clickhouse - Insert Errors,Info,b883372eb4b1d1fe
Logstash Clickhouse - Insert Errors,Info,5c339fbcc18848e2
Logstash Clickhouse - Insert Errors,Info,9e2e86c7187e6ad4
Logstash Clickhouse - Insert Errors,Info,9b8aaabd68cbc28d
Logstash Clickhouse - Insert Errors,Info,375795221bd22bab
Logstash Clickhouse - Insert Errors,Info,8d40962ce82f636b
Logstash Clickhouse - Insert Errors,Info,3681643cdebcde1b
Logstash Clickhouse - Insert Errors,Info,65474dd4ffc8d907
Logstash Clickhouse - Insert Errors,Info,711430dc0fbec7bf
Logstash Clickhouse - Insert Errors,Info,1460b31304a10cad
Logstash Clickhouse - Insert Errors,Info,5e8b0d66f8824835
Logstash Clickhouse - Insert Errors,Info,c2bb83d40992e971
Logstash Clickhouse - Insert Errors,Info,5b43e657ce649acd
Logstash Clickhouse - Insert Errors,Info,ba684f48979930e2
Logstash Clickhouse - Insert Errors,Info,54ec7062ebff6d83
Logstash Clickhouse - Insert Errors,Info,5d2710f5e4936883
Logstash Clickhouse - Insert Errors,Info,aea60ef688441234
Logstash Clickhouse - Insert Errors,Info,873e0b6812f21246
Logstash Clickhouse - Insert Errors,Info,c986e8cafa4e1dd0
Logstash Clickhouse - Insert Errors,Info,d2d7e5ed03eb2c40
Logstash Clickhouse - Insert Errors,Info,9eabc539e0e86416
Logstash Clickhouse - Insert Errors,Info,d9e1a4f713438194
Logstash Clickhouse - Insert Errors,Info,fb274ecd1fa6e12b
Logstash Clickhouse - Insert Errors,Info,4319e387913accae
Logstash Clickhouse - Insert Errors,Info,4fe6e3b7e951a186
Logstash Clickhouse - Insert Errors,Info,e8c06b3bea0e64db
Logstash Clickhouse - Insert Errors,Info,bd4048bf891807a8
Logstash Clickhouse - Insert Errors,Info,62bded6a3f690e9a
Logstash Clickhouse - Insert Errors,Info,dc6a4b861ad042cc
Logstash Clickhouse - Insert Errors,Info,a2fd49759c86430f
Logstash Clickhouse - Insert Errors,Info,59b80cee2f17285a
